Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,2024-07-25 07:43:35,2024-07-25 07:43:36,0.139s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-07-25 07:43:36,2024-07-25 07:43:36,0.357s,PASSED
"setText(findTestObject(""Object Repository/Login-Page/input_username""), username)",Chrome 126.0.0.0,,,2024-07-25 07:43:36,2024-07-25 07:43:39,2.732s,PASSED
"setText(findTestObject(""Object Repository/Login-Page/input_password""), password)",Chrome 126.0.0.0,,,2024-07-25 07:43:39,2024-07-25 07:43:40,0.870s,PASSED
"click(findTestObject(""Object Repository/Login-Page/login-button""))",Chrome 126.0.0.0,,,2024-07-25 07:43:40,2024-07-25 07:43:40,0.465s,PASSED
"verifyElementVisible(findTestObject(""Login-Page/error-message_Username and password do not match any user in this service""))",Chrome 126.0.0.0,user can't login,,2024-07-25 07:43:40,2024-07-25 07:44:10,30.128s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-07-25 07:44:10,2024-07-25 07:44:11,0.678s,PASSED
,,,,,,,
Test Cases/Login/L05 - Login Failed - Username Null,Chrome 126.0.0.0,Verify that user can't login with username is null,,2024-07-25 07:44:11,2024-07-25 07:44:18,7.189s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,2024-07-25 07:44:11,2024-07-25 07:44:13,1.944s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,2024-07-25 07:44:13,2024-07-25 07:44:14,0.476s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-07-25 07:44:14,2024-07-25 07:44:14,0.051s,PASSED
"setText(findTestObject(""Login-Page/input_password""), password)",Chrome 126.0.0.0,,,2024-07-25 07:44:14,2024-07-25 07:44:17,2.717s,PASSED
"click(findTestObject(""Object Repository/Login-Page/login-button""))",Chrome 126.0.0.0,,,2024-07-25 07:44:17,2024-07-25 07:44:17,0.441s,PASSED
"verifyElementVisible(findTestObject(""Login-Page/error-message_Epic sadface Username is required""))",Chrome 126.0.0.0,,,2024-07-25 07:44:17,2024-07-25 07:44:18,0.486s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-07-25 07:44:18,2024-07-25 07:44:18,0.472s,PASSED
,,,,,,,
Test Cases/Login/L06 - Login Failed - Password Null,Chrome 126.0.0.0,Verify that user can't login with password is null,,2024-07-25 07:44:18,2024-07-25 07:44:31,12.798s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,2024-07-25 07:44:18,2024-07-25 07:44:20,1.935s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,2024-07-25 07:44:20,2024-07-25 07:44:27,6.562s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-07-25 07:44:27,2024-07-25 07:44:27,0.068s,PASSED
"setText(findTestObject(""Login-Page/input_username""), username)",Chrome 126.0.0.0,,,2024-07-25 07:44:27,2024-07-25 07:44:29,2.514s,PASSED
"click(findTestObject(""Object Repository/Login-Page/login-button""))",Chrome 126.0.0.0,,,2024-07-25 07:44:29,2024-07-25 07:44:30,0.469s,PASSED
"verifyElementVisible(findTestObject(""Login-Page/error-message_Epic sadface Password is required""))",Chrome 126.0.0.0,,,2024-07-25 07:44:30,2024-07-25 07:44:30,0.465s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-07-25 07:44:30,2024-07-25 07:44:31,0.528s,PASSED
